,en,es,ja
langName,English,Español,日本語
Inventory,Inventory,Inventario,ストック
Group,Group,Grupo,パーティー
System,System,Sistema,システム
Data,Data,Datos,データ
Help,Help,Ayuda,ヘルプ
Upgrade,Upgrade,Mejora,アップグレード
Kind,Kind,Tipo,種類
Order,Order,Ordenar,種類
---,---,---,---
Lv,Lv,Nv,Lv
NEXT,NEXT,SIG.,NEXT
LP,LP,LP,LP
MP,MP,MP,MP
Continue,Continue,Continuar,続ける
New,New,Nuevo,始める
Save,Save,Guardar,セーブ
Load,Load,Cargar,ロード
To title,To title,Ir a título,タイトルに戻る
save_help,Select a slot where you want to save the game.,Selecciona una ranura donde quieres guardar el juego.,ゲームを保存するスロットを選択します。
load_help,Select a slot with a game you want to load.,Selecciona una ranura con el juego que quieres cargar.,ロードしたいゲームが含まれるスロットを選択します。
Config,Config,Opciones,コンフィグ
Exit,Exit,Salir,ゲームをやめる
Quit,Quit,Salir,ゲームをやめる
Delete,Delete,Borrar,消す
<New file>,<New file>,<Nuevo archivo>,<新規ファイル>
Name,Name,Nombre,名前
Capitals,Capitals,Mayúsculas,大文字
Default,Default,Por defecto,デフォルト
Finish,Finish,Finalizar,仕上げる
Character,Character,Personaje,
Equip,Equip,Equipo,
Character - Data,Character - Data,Personaje - Datos,
Strength,Strength,Fuerza,
Vitality,Vitality,Vitalidad,
Intelligence,Intelligence,Inteligencia,
Agility,Agility,Agilidad,
Phy.Absorb,Phy.Absorb,Absorpción F.,
Mag.Absorb,Mag.Absorb,Absorpción M.,
Character - Equip,Character - Equip,Personaje - Equipo,
STR,STR,FRZ,
VIT,VIT,VIT,
INT,INT,INT,
AGI,AGI,AGI,
P.Abs,P.Abs,Abs.F,
M.Abs,M.Abs,Abs.M,
Left,Left,Izq.,
Right,Right,Der.,
Head,Head,Cabeza,
Body,Body,Cuerpo,
Other,Other,Otros,
Scroll,Scroll,Folio,
Fylgja,Fylgja,Fylgja,
Character - Actions,Character - Actions,Personaje - Acciones,
Action,Action,Acción,アクション
Counter,Counter,Contraataque,カウンター
BATTLE RESUlt,BATTLE RESUlt,RESUltADO DE BATALLA,戦闘結果
SPOILS,SPOILS,BOTÍN,獲物
item_get,"Got [img]%s[/img] [color=""#d0b060""]%s[/color] x %d","Obtienes [img]%s[/img] [color=""#d0b060""]%s[/color] x %d","「[img]%s[/img] [color=""#d0b060""]%s[/color] x %d」を獲得しました"
actionhelp_0,Use a weapon or ability.,Usa un arma o habilidad.,武器や能力を使用します。
actionhelp_1,Open inventory and use an item.,Abre inventario para usar objetos.,ストックを開いてアイテムを使用します。
actionhelp_2,Wait for this turn (recovers 5%MP).,Esperar por este turn (recupera 5%MP).,このターンを待つ(5%MP回復)。
◄ Back  ,◄ Back  ,◄ Atrás  ,◄ 戻る  
◄ Wait ►,◄ Wait ►,◄ Espera ►,◄ 待って ►
  Forward ►,  Forward ►,  Adelante ►,  進行 ►
Run,Run,Correr,逃げる
Interact,Interact,Interactuar,交流する
Unmount,Get off,Bajarse,降りる
Raise fork,Raise Fork,Subir horquilla,フォークを上げる
Lower fork,Lower Fork,Bajar horquilla,フォークを下げる
,,,
Raidō,Raidō,Raidō,ライドウ
Fehu,Fehu,Fehu,フェフ
Eiwaz,Eiwaz,Eiwaz,エイワズ
Ūruz,Ūruz,Ūruz,ズルズ
Algiz,Algiz,Algiz,アルギズ
Mannaz,Mannaz,Mannaz,マンナツ
Sōwilō,Sōwilō,Sōwilō,ソウウィロ
,,,
Tēwaz,Tēwaz,Tēwaz,テワズ
Gebō,Gebō,Gebō,ゲボ
Ehwaz,Ehwaz,Ehwaz,エフワズ
Yngwaz,Yngwaz,Yngwaz,イングワズ
Jēra,Jēra,Jēra,ジェラ
Perþō,Perþō,Perþō,ペルド
Þurisaz,Þurisaz,Þurisaz,スウリサズ
Kenaz,Kenaz,Kenaz,ケナズ
Wunjō,Wunjō,Wunjō,ウンジョ
Ōþala,Ōþala,Ōþala,オウサラ
Naudiz,Naudiz,Naudiz,ナウディズ
Isaz,Isaz,Isaz,イサズ
Haglaz,Haglaz,Haglaz,ハガラズ
,,,
,,,
,,,
General,General,General,ゼネラル
General_help,Gameplay options and other miscelaneous stuff.,Opciones de jugabilidad y otras cosas misceláneas.,ゲームプレイのオプションやその他の雑多なもの。
Audio,Audio,Audio,オーディオ
Audio_help,Adjust volume levels.,Ajusta niveles de volumen.,音量レベルを調整します。
Graphics,Graphics,Gráficos,グラフィックス
Graphics_help,Set graphical and visual options.,Define opciones visuales y gráficas.,グラフィックおよび視覚的なオプションを設定します。
Binding,Bindings,Control,コントロール
Binding_help,Configure input bindings.,Configura opciones de control.,入力バインディングを構成します。
Back,Back,Atrás,戻る
Back_help,Returns to previous screen.,Regresa a la pantalla anterior.,前の画面に戻ります。
Active Battle,Active Battle,Batalla activa,アクティブバトル
Active Battle_help,"When turned on, enemies can act while you select actions.","Si está activada, los enemigos actuarán mientras seleccionas tus acciones.",オンにすると、アクションを選択している間、敵が行動できるようになります。
Battle Speed,Battle Speed,Velocidad de batalla,バトルスピード
Battle Speed_help,"Sets how quickly the action bar is filled.
Low: Slow. High: Fast.","Ajusta qué tan rápido se llena la barra de acción de los batallantes.
Bajo: Lento. Alto: Rápido.",アクションバーが埋まるまでの速さを設定します。 低: 遅い。 高: 速い。
Battle Camera,Battle Camera,Cámara de batalla,バトルカメラ
Battle Camera_help,"When enabled, camera will move and rotate in battle based on the actions.","Cuando activa, la cámara se moverá y rotará en batalla dependiendo de las acciones.",有効にすると、戦闘中にアクションに基づいてカメラが移動および回転します。
Skip Tutorials,Skip Tutorials,Saltar tutoriales,チュートリアルをスキップ
Skip Tutorials_help,"If enabled, all tutorials and help prompts will be skipped.","Al activarse, se eliminan todos los tutoriales y avisos de ayuda.",有効にすると、すべてのチュートリアルとヘルプ プロンプトがスキップされます。
Pause on Focus Lost,Pause on Focus Lost,Pausar al perder foco,フォーカスが失われたときに一時停止する
Pause on Focus Lost_help,Game will pause automatically when application focus is lost.,El juego se pausará automáticamente mientras la aplicación está fuera de foco.,アプリケーションのフォーカスが失われると、ゲームは自動的に一時停止します。
Language,Language,Lenguaje,言語
Language_help,Select the game's language.,Selecciona el lenguage del juego.,ゲームの言語を選択します。
English,English,Inglés,英語
Spanish,Spanish,Español,スペイン語
Japanese,Japanese,Japonés,日本語
Yes,Yes,Sí,はい
No,No,No,いいえ
Master Volume,Master Volume,Volumen general,
Master Volume_help,Adjusts the general volume of the game.,Ajusta el volumen general del juego.,
BGM Volume,BGM Volume,Volumen música,
BGM Volume_help,Adjusts the music volume.,Ajusta el volumen de la música.,
BGS Volume,BGS Volume,Volumen sonidos de fondo,
BGS Volume_help,Adjusts the volume for background sounds.,Ajusta el volumen de sonidos de fondo.,
Ambient Volume,Ambient Volume,Volumen de ambiente,
Ambient Volume_help,Adjusts the volume for ambient sounds.,Ajusta el volumen de sonidos de ambientación.,
SFX Volume,SFX Volume,Volumen efectos sonoros,
SFX Volume_help,Adjusts the volume for sound effects.,Ajusta el volumen de efectos de sonido.,
Screen Resolution,Screen Resolution,Resolución de pantalla,
Screen Resolution_help,Set the aspect ratio of the screen.,Configura la relación de aspecto de la pantalla.,
Screen Scale,Screen Scale,Escala de pantalla,
Screen Scale_help,Changes the screen scale.,Cambia la escala de pantalla.,
Screen Mode,Screen Mode,Modo de pantalla,
Screen Mode_help,Windowed mode or fullscreen mode.,Modo ventana o modo pantalla completa.,
FPS Limit,FPS Limit,Límite de FPS,
FPS Limit_help,Sets the game screen refresh rate (Frames Per Second).,Cambia el ratio de refrescado de la pantalla (Frames Por Segundo).,
Message Skin,Message Skin,Estilo de mensaje,
Message Skin_help,Changes the skin to the message text boxes.,Cambia el estilo a las ventanas de mensaje.,
Background Opacity,Background Opacity,Opacidad de fondo,
Background Opacity_help,Adjusts the opacity for the menu background.,Ajusta la opacidad del fondo del menú.,
Shadow Style,Shadow Style,Estilo de sombra,
Shadow Style_help,Sets the battler's shadow style.,Configura el estilo de las sombras del combatiente.,
Gamepad Button Icons,Button Icons,Estilo de íconos,
Gamepad Button Icons_help,Select the style used for the button icons.,Selecciona el estilo de los iconos para botones.,
Windowed,Windowed,Ventana,
Fullscreen,Fullscreen,Pantalla completa,
White,White,Claro,
Dark,Dark,Oscuro,
Disabled,Disabled,Desactivado,
Simple,Simple,Simple,
Animated,Animated,Animado,
move_left,Move Left,Mover izquierda,
move_left_help,Moves the cursor or the player to the left.,Mueve a la izquierda el cursor o el jugador.,
move_right,Move Right,Mover derecha,
move_right_help,Moves the cursor or the player to the right.,Mueve a la derecha el cursor o el jugador.,
move_up,Move Up,Mover arriba,
move_up_help,Moves the cursor or the player up.,Mueve hacia arriba el cursor o el jugador.,
move_down,Move Down,Mover abajo,
move_down_help,Moves the cursor or the player down.,Mueve hacia abajo el cursor o el jugador.,
action_ok,Action: Ok,Acción: Aceptar,
action_ok_help,"Interacts with objects, selects options in menus.","Interactúa con objetos, selecciona opciones en menús.",
action_cancel,Action: Cancel,Acción: Cancelar,
action_cancel_help,Cancels and returns from menus.,Cancela opciones y vuelve atrás en menús.,
action_run,Action: Run,Acción: Correr,
action_run_help,Hold button to run.,Mantener presionado para correr.,
action_menu,Action: Menu,Acción: Menú,
action_menu_help,"Opens the menu, sometimes opens extra menus within menus.","Abre el menú, algunas veces abre menús extra dentro de otros menús.",
action_extra,Action: Extra,Acción: Extra,
action_extra_help,Used for special functions. Jumps while moving the player avatar.,Usado para funciones especiales. Salta mientras mueves el jugador.,
action_select,Action: Select,Acción: Select,
action_select_help,,,
action_start,Action: Start,Acción: Start,
action_start_help,,,
lt,Cycle Left,Ciclo izquierda,
lt_help,Cycles left or backwards between options.,Vuelve a la opción anterior o cicla hacia la izquierda.,
rt,Cycle Right,Ciclo derecha,
rt_help,Cycles right or forward between options.,Selecciona la opción siguiente o cicla hacia la derecha.,
cam_left,Camera Left,Cámara izquierda,
cam_left_help,Rotate camera towards the left direction.,Rota la cámara en dirección izquierda.,
cam_right,Camera Right,Cámara derecha,
cam_right_help,Rotate camera towards the right direction.,Rota la cámara en dirección derecha.,
,,,
Hikari,Hikari,Hikari,ヒカリ
Hikari_last,Morishita,Morishita,森下
Hikari_place,Yamashiru,Yamashiru,山城
Hikari_desc,"After her graduation, she will embark on a journey, finding traces of strange events in the world, and becoming interested in everything that happened in the past.

Born in Yamashiru, she lived her early childhood in the city of Eddie. However due to their parents' affiliation with the Academy, the Yamashiru government expelled them from the country under treason charges against her father Taro Morishita. Due to this, her family decided to travel by ship to the continent of Aleko, where they would stay at house of her mother's brother.

However, due to an accident on the high seas, her father disappears and her mother dies to save her and her sister, and after the event both left to the care of the Academy.","Se embarcará en un viaje después de su graduación, tras ir encontrando rastros de extraños acontecimientos en el mundo, e irse interesando en todo lo que ocurrió en el pasado.

Nacida en Yamashiru, vivió su infancia temprana en la ciudad de Eddie. Sin embargo debido a la afiliación de sus padres con la Academia, el gobierno de Yamashiru les expulsó del país por cargos de traición, especialmente su padre Taro Morishita. Tras esto su familia decidió trasladarse en barco al continente de Aleko, donde vivirían por un tiempo en casa de un hermano de Rei Ono, la madre de Hikari.

Sin embargo debido a un accidente en altamar, su padre desaparece y su madre muere al salvarla junto a su hermana, y tras este suceso quedan al cuidado de la Academia.",
Minuet,Minuet,Minuet,メヌエット
Minuet_desc,,"Compañera de \N[1] desde que ésta entró a la academia, fueron amigas en ese entonces. Ahora su compañera de combate. Sarcástica y un poco seria, de carácter pasivo.

Originaria de Aleko, vivió su infancia temprana con sus padres, sin embargo estos fueron presa de la guerra de Parnassus, donde servían como soporte para las fuerzas de la Academia.

Tras esto, sus padres dejaron una herencia que le aseguró su futuro, y la niña fue encargada a la Academia de Aleko para su educación.",
Sid,Sid,Sid,シド
Sid_desc,,"Alférez y líder del escuadrón X, él es un talentoso estratega. Huérfano a causa de la guerra, no tiene memorias de su familia, ahora vive por el honor y proteger a sus camaradas.

Se sabe que es originario de Parnassus, junto a \N[Lance]. Sin embargo sus padres parecen haber perecido mucho antes de la guerra, probablemente en otro enfrentamiento armado.

Lastimosamente tras el ataque a la vieja Parnassus, los documentos de su origen fueron perdidos en el orfanato destruido tras el ataque de los Lilim.",
Lance,Lance,Lance,ランス
Lance_desc,,"Hijo adoptivo de la reconocida familia Vredevelt, y amigo cercano de \N[Sid] desde el orfanato. Mucha de su vida es un misterio para otros, debido a su personalidad silenciosa.

Fue encontrado en el mismo orfanato que \N[Sid] en el momento de evacuación. Poco después del suceso, por razones sólo consecuentes a la familia Vredevelt, estos lo tomaron en adopción.

Parece no llevarse bien con su medio hermano mayor.",
RedWyvern,?????,?????,？？？？？
RedWyvern_desc,,"Un wyvern de la región montañosa situada entre Aleko, Fierro y Havoc. Un espíritu libre sin fronteras ni barreras, y poco sentido común.

Se une al viaje en busca de una respuesta a sus dudas y su inquietud por el mundo que le rodea, que poco entiende y poco sabe.",
Shishi,Shishi,Shishi,シシ
Shishi_desc,,"Se presume cayó del espacio tras estar en estado criogénico por miles de años.

Se desconoce todo de él. Tiene un comportamiento extraño, una personalidad inexistente, y curiosidad infinita por todo lo que ve.",
Alice,Alice,Alice,アリス
Alice_desc,,"Una chica un tanto rara y bastante torpe, proveniente de Ardmore, antiguo pueblo que da el nombre al continente homónimo. Suele empeñarse al extremo en hacer lo que le solicitan.

Hija mayor de una familia de campesinos, soñaba con ser uno de esos guerreros de fantasía. Y gracias a su esfuerzo, y al de sus padres, pudo unirse a la Escuela de Combate de Parnassus, que ya supone un logro.

¿Qué le deparará el futuro a esta chica hiperactiva?",
Mana,Mana,Mana,マナ
Mana_desc,,"Posiblemente nacido en la villa Utgarim escondida en el monte Parnassus. Vivía en esa villa junto a su hermana Manju, hasta que esta murió bajo el control del Rey Bestia en la batalla contra Ludwig Liatos.

No se conoce mucho más de su vida, se supone es simplemente un pueblerino de su villa igual que los demás. Tras el fallecimiento de su hermana vivió junto al líder del pueblo y fue educado por este.",
Eric,Eric,Eric,エリック
Eric_desc,,,
Light Mage,Light Mage,Maga Luz,ライトメイジ
Militia,Militia,Milicia,民兵
Red Wyvern,Red Wyvern,Wyvern Rojo,レッドワイバーン
,,,
Mole,Mole,Topo,モグラ
Mole_desc,The moles will conquer the earth!,¡Los topos conquistarán la tierra!,モグラが地球を征服する！
Flame,Flame,Flama,炎
Flame_desc,Yellow flames can freeze pretty easily.,Las flamas amarillas pueden congelarse fácilmente.,黄色い炎は非常に簡単に凍ってしまいます。
BlueFlame,Blue Flame,Flama Roja,青い炎
